episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/allreduce_latency,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
1186.0,1186.0,1186.0,10000.0,1,1,112000,False,11,28,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-10-41,1618139441,28.660486936569214,803.3684968948364,703,285e2a0aa751,172.28.0.2,803.3684968948364,0,28,9a92d_00000,[1186.0],[10000],12380.36,323.092,16562.183,241.514,3.384,112000,112000,61.31463414634147,27.200000000000003,0.0,0.30000000000000004,5e-05,11.112215787172318,-0.04868245852412656,11.157147735357285,0.44074094,0.012501857097959146,0.3953271573409438,0.0
1186.0,1186.0,1186.0,10000.0,0,1,116000,False,11,29,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-11-08,1618139468,27.820141553878784,831.1886384487152,703,285e2a0aa751,172.28.0.2,831.1886384487152,0,29,9a92d_00000,[1186.0],[10000],12410.527,322.307,16568.723,241.419,3.5,116000,116000,60.07435897435898,27.200000000000006,0.0,0.30000000000000004,5e-05,10.38381975889206,-0.04759430105332285,10.428178280591965,0.48993084,0.010785495702293701,0.3547786558046937,0.0
1609.0,1609.0,1609.0,10000.0,1,1,120000,False,12,30,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-11-38,1618139498,29.336308002471924,860.5249464511871,703,285e2a0aa751,172.28.0.2,860.5249464511871,0,30,9a92d_00000,[1609.0],[10000],12334.653,324.29,16616.321,240.727,3.503,120000,120000,61.10476190476191,27.200000000000003,0.0,0.30000000000000004,5e-05,10.305910989642143,-0.04039241524878889,10.342893853783607,0.44113934,0.011365515005309135,0.3602184718474746,0.0
1609.0,1609.0,1609.0,10000.0,0,1,124000,False,12,31,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-12-06,1618139526,28.231444835662842,888.75639128685,703,285e2a0aa751,172.28.0.2,888.75639128685,0,31,9a92d_00000,[1609.0],[10000],12129.028,329.787,16713.153,239.332,3.481,124000,124000,60.936585365853674,27.200000000000003,0.0,0.30000000000000004,5e-05,11.042620360851288,-0.03863921118318103,11.077926754951477,0.6200117,0.011109275190392509,0.37247912492603064,0.0
1609.0,1609.0,1609.0,10000.0,0,1,128000,False,12,32,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-12-33,1618139553,27.095518589019775,915.8519098758698,703,285e2a0aa751,172.28.0.2,915.8519098758698,0,32,9a92d_00000,[1609.0],[10000],11628.511,343.982,16725.297,239.159,3.472,128000,128000,60.79210526315791,27.200000000000003,0.0,0.30000000000000004,5e-05,9.04953907430172,-0.038850002514664084,9.085323005914688,0.6217804,0.010220711468718946,0.5508521739393473,0.0
928.0,928.0,928.0,10000.0,1,1,132000,False,13,33,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-13-01,1618139581,28.160154581069946,944.0120644569397,703,285e2a0aa751,172.28.0.2,944.0120644569397,0,33,9a92d_00000,[928.0],[10000],11300.183,353.977,16785.055,238.307,3.721,132000,132000,60.51463414634147,27.200000000000003,0.0,0.30000000000000004,5e-05,7.441496342420578,-0.045323035679757595,7.483087345957756,0.67266756,0.012439634767360985,0.4993107756599784,0.0
928.0,928.0,928.0,10000.0,0,1,136000,False,13,34,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-13-29,1618139609,28.01149344444275,972.0235579013824,703,285e2a0aa751,172.28.0.2,972.0235579013824,0,34,9a92d_00000,[928.0],[10000],11067.288,361.425,16827.84,237.701,3.688,136000,136000,60.575,27.2,0.0,0.30000000000000004,5e-05,9.887200951576233,-0.038493947533424944,9.921363741159439,0.42136824,0.01443750539328903,0.48564933985471725,0.0
929.0,929.0,929.0,10000.0,1,1,140000,False,14,35,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-13-59,1618139639,29.058840036392212,1001.0823979377747,703,285e2a0aa751,172.28.0.2,1001.0823979377747,0,35,9a92d_00000,[929.0],[10000],11200.671,357.121,16863.48,237.199,3.653,140000,140000,60.45853658536587,27.200000000000003,0.0,0.30000000000000004,5e-05,9.023139342665672,-0.03715045127319172,9.056908711791039,0.48112857,0.011270440620137379,0.3514526542276144,0.0
929.0,929.0,929.0,10000.0,0,1,144000,False,14,36,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-14-28,1618139668,29.134591102600098,1030.2169890403748,703,285e2a0aa751,172.28.0.2,1030.2169890403748,0,36,9a92d_00000,[929.0],[10000],11351.689,352.37,16865.525,237.17,3.624,144000,144000,60.32142857142857,27.235714285714284,0.0,0.30000000000000004,5e-05,7.219376295804977,-0.04915050743147731,7.262193724513054,0.34599718,0.021110317058628425,0.35852946154773235,0.0
929.0,929.0,929.0,10000.0,0,1,148000,False,14,37,143c9cb5e33d4388b1f11996b18bdbfe,2021-04-11_11-14-57,1618139697,29.51747989654541,1059.7344689369202,703,285e2a0aa751,172.28.0.2,1059.7344689369202,0,37,9a92d_00000,[929.0],[10000],11586.004,345.244,16904.534,236.623,3.658,148000,148000,60.959523809523816,27.280952380952385,0.0,0.45000000000000007,5e-05,9.66394230723381,-0.042393993760924786,9.701233476400375,0.2779825,0.011339476055582054,0.2942663934081793,0.0
